"";"Rank";"Country";"Documents";"Citable.documents";"Citations";"Self-citations";"Citations.per.document";"H.index";"year"
"1";1;"United States";2780;2748;120420;63509;43,32;306;"1996"
"2";2;"France";613;612;27919;7417;45,54;188;"1996"
"3";3;"United Kingdom";554;550;23264;5421;41,99;183;"1996"
"4";4;"Germany";526;524;19803;5643;37,65;176;"1996"
"5";5;"Russian Federation";492;492;6335;1754;12,88;103;"1996"
"6";6;"Canada";490;481;19247;4433;39,28;154;"1996"
"7";7;"Japan";357;356;10491;3337;29,39;144;"1996"
"8";8;"China";337;334;5276;3428;15,66;146;"1996"
"9";9;"Italy";313;313;9047;4150;28,9;133;"1996"
"10";10;"Australia";244;242;13184;2673;54,03;157;"1996"
"11";11;"Netherlands";142;142;6541;1059;46,06;121;"1996"
"12";12;"Switzerland";130;130;5909;1090;45,45;137;"1996"
"13";13;"New Zealand";125;125;4139;1519;33,11;89;"1996"
"14";14;"Norway";102;102;2635;633;25,83;102;"1996"
"15";15;"Spain";101;101;3183;1369;31,51;99;"1996"
"16";16;"Sweden";94;94;3378;819;35,94;94;"1996"
"17";17;"India";91;90;1776;1067;19,52;80;"1996"
"18";18;"Mexico";83;83;1147;499;13,82;64;"1996"
"19";19;"Poland";74;74;390;134;5,27;55;"1996"
"20";20;"Greece";68;68;2247;857;33,04;74;"1996"
"21";21;"Brazil";66;64;2401;638;36,38;84;"1996"
"22";22;"Czech Republic";64;64;891;298;13,92;55;"1996"
"23";23;"Belgium";64;64;2521;440;39,39;88;"1996"
"24";24;"Denmark";58;58;1471;287;25,36;92;"1996"
"25";25;"Finland";56;54;1077;393;19,23;74;"1996"
"26";26;"South Africa";53;53;2391;586;45,11;82;"1996"
"27";27;"Austria";48;48;908;259;18,92;81;"1996"
"28";28;"Taiwan";44;43;1531;346;34,8;82;"1996"
"29";29;"Israel";43;43;1439;548;33,47;77;"1996"
"30";30;"Hungary";39;39;642;272;16,46;52;"1996"
"31";31;"Turkey";34;34;678;327;19,94;70;"1996"
"32";32;"Argentina";28;27;653;220;23,32;57;"1996"
"33";33;"Ukraine";28;28;971;211;34,68;39;"1996"
"34";34;"South Korea";24;24;465;118;19,38;64;"1996"
"35";35;"Indonesia";21;21;751;140;35,76;50;"1996"
"36";36;"Chile";20;20;609;184;30,45;59;"1996"
"37";37;"Portugal";19;19;372;145;19,58;55;"1996"
"38";38;"Philippines";15;15;409;58;27,27;24;"1996"
"39";39;"Bulgaria";14;14;67;22;4,79;36;"1996"
"40";40;"Ireland";13;13;914;48;70,31;54;"1996"
"41";41;"New Caledonia";12;12;346;18;28,83;31;"1996"
"42";42;"Egypt";11;11;98;53;8,91;32;"1996"
"43";43;"Nigeria";9;9;55;14;6,11;19;"1996"
"44";44;"Slovakia";9;9;189;38;21;38;"1996"
"45";45;"Costa Rica";9;9;120;27;13,33;31;"1996"
"46";46;"Iceland";9;9;269;64;29,89;56;"1996"
"47";47;"Estonia";9;9;172;46;19,11;29;"1996"
"48";48;"Puerto Rico";8;8;180;29;22,5;33;"1996"
"49";49;"Zimbabwe";8;8;175;40;21,88;25;"1996"
"50";50;"Hong Kong";6;6;438;38;73;54;"1996"
"51";51;"Saudi Arabia";6;6;97;6;16,17;31;"1996"
"52";52;"Croatia";6;6;93;19;15,5;28;"1996"
"53";53;"Bolivia";6;6;114;17;19;19;"1996"
"54";54;"Algeria";5;5;104;42;20,8;26;"1996"
"55";55;"Georgia";5;5;161;17;32,2;17;"1996"
"56";56;"Colombia";5;5;37;14;7,4;28;"1996"
"57";57;"Belarus";5;5;39;5;7,8;19;"1996"
"58";58;"Pakistan";5;5;141;42;28,2;23;"1996"
"59";59;"Congo";5;5;294;1;58,8;16;"1996"
"60";60;"Cuba";4;4;10;2;2,5;16;"1996"
"61";61;"French Polynesia";4;4;48;7;12;18;"1996"
"62";62;"Kazakhstan";4;4;29;0;7,25;14;"1996"
"63";63;"Ecuador";4;4;89;41;22,25;32;"1996"
"64";64;"Romania";4;4;93;31;23,25;32;"1996"
"65";65;"Malaysia";4;4;1540;85;385;26;"1996"
"66";66;"Svalbard and Jan Mayen";3;3;50;2;16,67;3;"1996"
"67";67;"Morocco";3;3;114;35;38;33;"1996"
"68";68;"Iran";3;3;160;120;53,33;50;"1996"
"69";69;"Kyrgyzstan";3;3;19;0;6,33;20;"1996"
"70";70;"Tanzania";3;3;149;25;49,67;22;"1996"
"71";71;"Trinidad and Tobago";3;3;66;2;22;20;"1996"
"72";72;"Namibia";3;3;153;10;51;18;"1996"
"73";73;"Mongolia";3;3;193;37;64,33;24;"1996"
"74";74;"Venezuela";3;3;92;31;30,67;23;"1996"
"75";75;"Slovenia";3;3;58;5;19,33;25;"1996"
"76";76;"Peru";3;3;85;2;28,33;36;"1996"
"77";77;"Brunei Darussalam";2;2;167;8;83,5;12;"1996"
"78";78;"Jordan";2;2;28;12;14;22;"1996"
"79";79;"Singapore";2;2;303;15;151,5;26;"1996"
"80";80;"Senegal";2;2;34;3;17;15;"1996"
"81";81;"Cameroon";2;2;101;24;50,5;16;"1996"
"82";82;"Ethiopia";2;2;141;28;70,5;31;"1996"
"83";83;"Ghana";2;2;54;6;27;16;"1996"
"84";84;"Armenia";2;2;1;0;0,5;12;"1996"
"85";85;"Thailand";2;2;19;1;9,5;26;"1996"
"86";86;"Albania";2;2;28;6;14;12;"1996"
"87";87;"Guadeloupe";2;1;10;3;5;13;"1996"
"88";88;"Libya";2;2;2;1;1;7;"1996"
"89";89;"Oman";2;2;21;0;10,5;22;"1996"
"90";90;"Greenland";1;1;101;4;101;11;"1996"
"91";91;"Madagascar";1;1;33;8;33;14;"1996"
"92";92;"Malta";1;1;27;0;27;13;"1996"
"93";93;"Guam";1;1;45;3;45;4;"1996"
"94";94;"Kenya";1;1;0;0;0;19;"1996"
