Comune;Provincia;Prov;Regione;Latitude;Longitude;Latitudine Prov;Longitudine Prov;Numero Abitanti;CAP;Prefisso;Cod Istat
Agliè;Torino;TO;Piemonte;45,3647200000;7,7677800000;45,0661100000;7,6822200000;2591;10011;124;1001001
Airasca;Torino;TO;Piemonte;44,9175000000;7,4911100000;45,0661100000;7,6822200000;3808;10060;11;1001002
Ala di Stura;Torino;TO;Piemonte;45,3161100000;7,3027800000;45,0661100000;7,6822200000;465;10070;123;1001003
Albiano d'Ivrea;Torino;TO;Piemonte;45,4350000000;7,9472200000;45,0661100000;7,6822200000;1778;10010;125;1001004
Alice Superiore;Torino;TO;Piemonte;45,4622200000;7,7777800000;45,0661100000;7,6822200000;713;10010;125;1001005
Almese;Torino;TO;Piemonte;45,1200000000;7,3980600000;45,0661100000;7,6822200000;6378;10040;11;1001006
Alpette;Torino;TO;Piemonte;45,4102800000;7,5775000000;45,0661100000;7,6822200000;271;10080;124;1001007
Alpignano;Torino;TO;Piemonte;45,0991700000;7,5277800000;45,0661100000;7,6822200000;17097;10091;11;1001008
Andezeno;Torino;TO;Piemonte;45,0388900000;7,8694400000;45,0661100000;7,6822200000;2010;10020;11;1001009
Andrate;Torino;TO;Piemonte;45,5280600000;7,8744400000;45,0661100000;7,6822200000;521;10010;125;1001010
Angrogna;Torino;TO;Piemonte;44,8436100000;7,2263900000;45,0661100000;7,6822200000;882;10060;121;1001011
Arignano;Torino;TO;Piemonte;45,0447200000;7,9027800000;45,0661100000;7,6822200000;1057;10020;11;1001012
Avigliana;Torino;TO;Piemonte;45,0788900000;7,3980600000;45,0661100000;7,6822200000;12367;10051;11;1001013
Azeglio;Torino;TO;Piemonte;45,4266700000;7,9944400000;45,0661100000;7,6822200000;1375;10010;125;1001014
Bairo;Torino;TO;Piemonte;45,3877800000;7,7544400000;45,0661100000;7,6822200000;819;10010;124;1001015
Balangero;Torino;TO;Piemonte;45,2766700000;7,5219400000;45,0661100000;7,6822200000;3178;10070;123;1001016
Baldissero Canavese;Torino;TO;Piemonte;45,4116700000;7,7450000000;45,0661100000;7,6822200000;551;10080;124;1001017
Baldissero Torinese;Torino;TO;Piemonte;45,0697200000;7,8200000000;45,0661100000;7,6822200000;3825;10020;11;1001018
Balme;Torino;TO;Piemonte;45,3033300000;7,2188900000;45,0661100000;7,6822200000;97;10070;123;1001019
Banchette;Torino;TO;Piemonte;45,4622200000;7,8580600000;45,0661100000;7,6822200000;3355;10010;125;1001020
Barbania;Torino;TO;Piemonte;45,2919400000;7,6319400000;45,0661100000;7,6822200000;1632;10070;11;1001021
Bardonecchia;Torino;TO;Piemonte;45,0813900000;6,7002800000;45,0661100000;7,6822200000;3273;10052;122;1001022
Barone Canavese;Torino;TO;Piemonte;45,3277800000;7,8736100000;45,0661100000;7,6822200000;597;10010;11;1001023
Beinasco;Torino;TO;Piemonte;45,0241700000;7,5808300000;45,0661100000;7,6822200000;18185;10092;11;1001024
Bibiana;Torino;TO;Piemonte;44,7991700000;7,2894400000;45,0661100000;7,6822200000;3399;10060;121;1001025
Bobbio Pellice;Torino;TO;Piemonte;44,8086100000;7,1175000000;45,0661100000;7,6822200000;566;10060;121;1001026
Bollengo;Torino;TO;Piemonte;45,4747200000;7,9436100000;45,0661100000;7,6822200000;2088;10012;125;1001027
Borgaro Torinese;Torino;TO;Piemonte;45,1516700000;7,6594400000;45,0661100000;7,6822200000;13502;10071;11;1001028
Borgiallo;Torino;TO;Piemonte;45,4191700000;7,6713900000;45,0661100000;7,6822200000;556;10080;124;1001029
Borgofranco d'Ivrea;Torino;TO;Piemonte;45,5127800000;7,8566700000;45,0661100000;7,6822200000;3780;10013;125;1001030
Borgomasino;Torino;TO;Piemonte;45,3638900000;7,9888900000;45,0661100000;7,6822200000;845;10031;125;1001031
Borgone Susa;Torino;TO;Piemonte;45,1250000000;7,2438900000;45,0661100000;7,6822200000;2372;10050;11;1001032
Bosconero;Torino;TO;Piemonte;45,2691700000;7,7669400000;45,0661100000;7,6822200000;3101;10080;11;1001033
Brandizzo;Torino;TO;Piemonte;45,1786100000;7,8436100000;45,0661100000;7,6822200000;8297;10032;11;1001034
Bricherasio;Torino;TO;Piemonte;44,8272200000;7,3038900000;45,0661100000;7,6822200000;4454;10060;121;1001035
Brosso;Torino;TO;Piemonte;45,4944400000;7,8033300000;45,0661100000;7,6822200000;472;10080;125;1001036
Brozolo;Torino;TO;Piemonte;45,1175000000;8,0702800000;45,0661100000;7,6822200000;481;10020;11;1001037
