"spotify.id","name","genre","wikipedia.id","start.activity","popularity","followers"
"3aEc0sswNXn2Mteu8YlVIS","24 Grana","Rock",72174,1995,28,9835
"6bMul6rmRS03x38tWKYifO","883","Pop rock",99156,1991,55,187881
"0C47YN6zg3vCNA2gIScdgW","99 Posse","Raggamuffin hip hop",2571146,1991,40,60407
"05Z2LDnNWKPgdeYe8kngbf","A Toys Orchestra","Rock alternativo",855395,1998,29,9838
"0vv2JV6GrcDW25b2WwsPyd","Abulico","Indie rock",101595,2005,0,70
"4DNg9yRsKYY81rbwSVYe2v","Achille Togliani","Musica leggera",99970,1947,24,1532
"3NjMlHgOao6SwYOdLQLwTt","Acqua Fragile","Rock progressivo",215167,1971,7,1193
"3n9AFp15AsJXurKgSI9Zk2","Actarus","Sigla",3940413,1978,13,121
"30rABJ4F7G8TR00Dh5w8aL","Acustimantico","Folk",209486,1998,1,227
"1yq9UuPp5DIb5w6eswGbKV","Adriano Celentano","Rock and roll",2958413,1956,53,132249
"52QEYyFKyIh06M9m5xbEnh","Aeroplanitaliani","Pop",1616692,1992,2,169
"7DXgHMWLJlH6uFTaDKk0Zv","Africa Unite","Dub",1948977,1981,26,14695
"4LAGemASxODFta2tWSAucy","Afterhours","Indie rock",132929,1985,43,75906
"5IU3PM7gQvWu2mPTkB9QG4","Agorà","Rock progressivo",3371651,1974,2,845
"1pKPABDTbFKCsFrtJQ3AWW","Agricantus","Folk",1801527,1979,16,1691
"4vG4v8OZ7uE9wV8xthRKzi","Aidoru","Musica sperimentale",2735251,1990,0,38
"2WpTI5aXFtmBhwaKST68cB","Ain Soph","Martial industrial",4395631,1984,2,457
"5Muqc5pruSCt1vPXgzfQkM","Airway","Rock alternativo",2949348,2005,5,747
"30yMvdT9J1USGPdIoexWfE","Akkura","Folk",1940952,1998,2,219
"3aaSEjMUNeNJRU2MgkXldn","Aktuala","World music",2263083,1972,2,265
"2gpELJDuhOQi1DPcI0VFvw","Al Bano","Musica leggera",94048,1965,40,25139
