"Terms","Docs","Freq","post.link","author.id","author.name","author.link","post.dt","categories","locations","comments.num","role","location","Prov","Regione","Latitudine.Prov","Longitudine.Prov"
"sine requie","64482",1,"https://www.gdrplayers.it/__trashed-4","capitano","Capitano","https://www.gdrplayers.it/author/capitano/",2017-04-07 12:00:32,"Ricerca giocatori","Padova",0,"Player","Padova","PD","Veneto","45,4091700000","11,8730600000"
"pathfinder","69675",1,"https://www.gdrplayers.it/15enne-cerca-gruppo-zona-treviso","adso","Adso","https://www.gdrplayers.it/author/adso/",2017-09-16 14:00:46,"Ricerca giocatori","Treviso",0,"Player","Treviso","TV","Veneto","45,6663900000","12,2452800000"
"d&d","62997",1,"https://www.gdrplayers.it/2-giocatori-3-5-zona-roma-est-cercano-mastergruppo","fredfail","FredFail","https://www.gdrplayers.it/author/fredfail/",2017-02-24 11:00:32,"Ricerca giocatori",NA,0,"Player",NA,NA,NA,NA,NA
"pathfinder","55589",1,"https://www.gdrplayers.it/2-giocatori-cerca-compagnia-master","armorica-deofol","Armorica Deofol","https://www.gdrplayers.it/author/armorica-deofol/",2016-07-26 12:04:04,"Ricerca giocatori","Monza e Brianza",6,"Player","Monza e Brianza","MB","Lombardia","45,6360300000","9,2783700000"
"d&d","33565",1,"https://www.gdrplayers.it/2-giocatori-cerca-di-un-gruppo-eo-master","asgan88","Asgan88","https://www.gdrplayers.it/author/asgan88/",2014-02-13 17:37:34,"Ricerca giocatori","Monza e Brianza",4,"Player","Monza e Brianza","MB","Lombardia","45,6360300000","9,2783700000"
"pathfinder","33565",1,"https://www.gdrplayers.it/2-giocatori-cerca-di-un-gruppo-eo-master","asgan88","Asgan88","https://www.gdrplayers.it/author/asgan88/",2014-02-13 17:37:34,"Ricerca giocatori","Monza e Brianza",4,"Player","Monza e Brianza","MB","Lombardia","45,6360300000","9,2783700000"
"d&d","55194",1,"https://www.gdrplayers.it/2-giocatori-cerca-mastergruppo-dd-roll20","leone0095","Leone0095","https://www.gdrplayers.it/author/leone0095/",2016-07-10 16:40:10,"Ricerca giocatori",NA,1,"Player",NA,NA,NA,NA,NA
"d&d","63804",1,"https://www.gdrplayers.it/2-giocatori-cerca-un-gruppo","riccardo-canciello","Riccardo Canciello","https://www.gdrplayers.it/author/riccardo-canciello/",2017-03-18 12:00:38,"Ricerca giocatori",NA,0,"Game Master",NA,NA,NA,NA,NA
"d&d","40189",1,"https://www.gdrplayers.it/2-giocatori-cercan-gruppo-milano-sud","mithrandir","mithrandir","https://www.gdrplayers.it/author/mithrandir/",2014-09-23 17:53:02,"Ricerca giocatori","Milano",5,"Player","Milano","MI","Lombardia","45,4658300000","9,1900000000"
"pathfinder","40189",1,"https://www.gdrplayers.it/2-giocatori-cercan-gruppo-milano-sud","mithrandir","mithrandir","https://www.gdrplayers.it/author/mithrandir/",2014-09-23 17:53:02,"Ricerca giocatori","Milano",5,"Player","Milano","MI","Lombardia","45,4658300000","9,1900000000"
