"Start URL","Titolo","Author","Genre","Setting","EditionInfo","System","Awards","OtherTags"
"http://index.rpg.net/display-entry.phtml?mainid=4479","Broomstix","Jared A. Sorensen","Fantasy / Modern","Hogwarts","Memento Mori Theatricks","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=5168","Before the Flood","Vincent Baker","Fantasy","Ancient history","Lumpley Games","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=4689","A Wushu Guide to Gun-Fu","Daniel Bayn","Generic","Generic","Bayn.org","Wushu Open","",""
"http://index.rpg.net/display-entry.phtml?mainid=4697","Pulp-Fu: A Wushu Game of Noir Style & Pulp Action!","Daniel Bayn","Generic","Generic","Bayn.org","Wushu Open","",""
"http://index.rpg.net/display-entry.phtml?mainid=5169","Chalk Outlines","Vincent Baker","Action / Crime","Modern","Lumpley Games","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=5171","Matchmaker","Vincent Baker","Romance","Generic","Lumpley Games","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=4475","Dragon!","John Wick","Fantasy / Humor","Generic","Wicked Dead Brewing Company","Advantage 0","",""
"http://index.rpg.net/display-entry.phtml?mainid=4700","A Wushu Guide to Car-Fu","Daniel Bayn","Generic","Generic","Bayn.org","Wushu Open","",""
"http://index.rpg.net/display-entry.phtml?mainid=4688","Wire-Fu: A Wushu Game of High-Flying, Hong Kong Action!","Daniel Bayn","Oriental / Martial Arts","Generic","Bayn.org","Wushu Open","",""
"http://index.rpg.net/display-entry.phtml?mainid=8262","Hunter Planet: The All Australian Role Playing Game","David Bruggeman","Science Fiction / Humor","1980s","HPAC  Pty. Ltd","Hunter Planet 2","",""
"http://index.rpg.net/display-entry.phtml?mainid=4699","A Wushu Guide to Wyrd-Fu","Daniel Bayn","Generic","Generic","Bayn.org","Wushu Open","",""
"http://index.rpg.net/display-entry.phtml?mainid=5170","Hungry Desperate and Alone","Vincent Baker","Horror","Generic","Lumpley Games","Generic / One-Off System","",""
"http://index.rpg.net/display-entry.phtml?mainid=4698","A Wushu Guide to Cut-Fu","Daniel Bayn","Generic","Generic","Bayn.org","Wushu Open","",""
"http://index.rpg.net/display-entry.phtml?mainid=3000","Dungeons & Dragons 3-Volume Set","Dave Arneson, Gary Gygax","Fantasy","Generic","TSR","D&D / Original","Origins Awards (All-Time Best Role-Playing Rules, 1977) Origins Awards (Greatest Contribution to the Hobby 1967-77, 1977) Origins Awards (Adventure Gaming Hall of Fame, 1977) Strategists' Club Award (Best New Game, 1974) Pen & Paper (RPG Hall of Fame, 2002) Scrye Player's Choice (All-Time Favorite Role-Playing Game, 2006) Games Magazine (Hall of Fame, 1984)",""
