Pos|Titolo|Publisher|Anno|TitoloNorm|Link
771|Broomstix|Memento Mori Theatricks||broomstix|http://index.rpg.net/display-entry.phtml?mainid=4479
791|Before the Flood|Lumpley Games||before the flood|http://index.rpg.net/display-entry.phtml?mainid=5168
943|A Wushu Guide to Gun-Fu|Bayn.org||gun-fu|http://index.rpg.net/display-entry.phtml?mainid=4689
993|Pulp-Fu: A Wushu Game of Noir Style & Pulp Action!|Bayn.org||pulp-fu|http://index.rpg.net/display-entry.phtml?mainid=4697
1044|Chalk Outlines|Lumpley Games||chalk outlines|http://index.rpg.net/display-entry.phtml?mainid=5169
1087|Matchmaker|Lumpley Games||matchmaker|http://index.rpg.net/display-entry.phtml?mainid=5171
1141|Dragon!|Wicked Dead Brewing Company||dragon!|http://index.rpg.net/display-entry.phtml?mainid=4475
1161|A Wushu Guide to Car-Fu|Bayn.org||car-fu|http://index.rpg.net/display-entry.phtml?mainid=4700
1172|Wire-Fu: A Wushu Game of High-Flying, Hong Kong Action!|Bayn.org||wire-fu|http://index.rpg.net/display-entry.phtml?mainid=4688
1334|Hunter Planet: The All Australian Role Playing Game|HPAC Pty. Ltd||hunter planet|http://index.rpg.net/display-entry.phtml?mainid=8262
2002|A Wushu Guide to Wyrd-Fu|Bayn.org||wyrd-fu|http://index.rpg.net/display-entry.phtml?mainid=4699
2057|Hungry Desperate and Alone|Lumpley Games||hungry desperate and alone|http://index.rpg.net/display-entry.phtml?mainid=5170
2075|A Wushu Guide to Cut-Fu|Bayn.org||cut-fu|http://index.rpg.net/display-entry.phtml?mainid=4698
1970|Dungeons & Dragons|Wizards of the Coast|1974|d&d|http://index.rpg.net/display-entry.phtml?mainid=3000
663|Chainmail|TSR|1975|chainmail|http://index.rpg.net/display-entry.phtml?mainid=4584
779|Empire of the Petal Throne|TSR|1975|petal throne|http://index.rpg.net/display-entry.phtml?mainid=67
903|En Garde!|GDW|1975|en garde!|http://index.rpg.net/display-entry.phtml?mainid=1532
502|Bunnies and Burrows|Fantasy Games Unlimited|1976|bunnies and burrows|http://index.rpg.net/display-entry.phtml?mainid=2730
902|Monsters! Monsters!|Metagaming|1976|monsters! monsters!|http://index.rpg.net/display-entry.phtml?mainid=2046
1136|Starfaring|Flying Buffalo|1976|starfaring|http://index.rpg.net/display-entry.phtml?mainid=4093
1521|Uuhraah!|Blackhawk Games|1976|uuhraah!|http://index.rpg.net/display-entry.phtml?mainid=10521
1985|Knights of the Round Table|Little Soldier Games|1976|knights of the round table|http://index.rpg.net/display-entry.phtml?mainid=10520
2082|Metamorphosis Alpha|TSR|1976|metamorphosis alpha|http://index.rpg.net/display-entry.phtml?mainid=5056
101|Traveller|GDW|1977|traveller|http://index.rpg.net/display-entry.phtml?mainid=69
1237|The Realm of Yolmi|West Coast Games|1977|realm of yolmi|http://index.rpg.net/display-entry.phtml?mainid=6210
1277|Space Quest|Tyr Gamemakers|1977|space quest|http://index.rpg.net/display-entry.phtml?mainid=15461
1774|Professional Wrestling|Off The Wall Games|1977|professional wrestling|http://index.rpg.net/display-entry.phtml?mainid=14606
2071|Bifrost|Davco|1977|bifrost|http://index.rpg.net/display-entry.phtml?mainid=3366
2079|Flash Gordon and the Warriors of Mongo|Fantasy Games Unlimited|1977|flash gordono|http://index.rpg.net/display-entry.phtml?mainid=5330
2136|Superhero: 2044|Gamescience|1977|superhero: 2044|http://index.rpg.net/display-entry.phtml?mainid=5981
35|RuneQuest|Chaosium|1978|runequest|http://index.rpg.net/display-entry.phtml?mainid=500
590|AD&D|TSR|1978|ad&d|http://index.rpg.net/display-entry.phtml?mainid=126
847|Starships & Spacemen|Fantasy Games Unlimited|1978|starships & spacemen|http://index.rpg.net/display-entry.phtml?mainid=4412
1090|John Carter, Warlord of Mars|Heritage Models|1978|john carter|http://index.rpg.net/display-entry.phtml?mainid=7505
1269|The Complete Warlock|Balboa Game Company|1978|complete warlock|http://index.rpg.net/display-entry.phtml?mainid=10517
1360|Simian Conquest|ASP|1978|simian conquest|http://index.rpg.net/display-entry.phtml?mainid=8378
2009|Star Trek: Adventure Gaming in the Final Frontier|Heritage Models|1978|star trek: adventure gaming in the final frontier|http://index.rpg.net/display-entry.phtml?mainid=7858
362|Tunnels & Trolls|Flying Buffalo|1979|tunnels & trolls|http://index.rpg.net/display-entry.phtml?mainid=903
538|The Ysgarth Rule System|Ragnarok Enterprises|1979|ysgarth rule system|http://index.rpg.net/display-entry.phtml?mainid=6125
1218|Ironhedge Manifesto|Empire Wargames|1979|ironhedge manifesto|http://index.rpg.net/display-entry.phtml?mainid=9414
2029|Gangster!|Fantasy Games Unlimited|1979|gangster!|http://index.rpg.net/display-entry.phtml?mainid=1391
249|In The Labyrinth|Metagaming|1980|in the labyrinth|http://index.rpg.net/display-entry.phtml?mainid=1336
351|DragonQuest|SPI|1980|dragonquest|http://index.rpg.net/display-entry.phtml?mainid=5013
976|Thieves' Guild|Gamelords|1980|thieves' guild|http://index.rpg.net/display-entry.phtml?mainid=5213
983|Basic Role-Playing|Chaosium|1980|basic role-playing|http://index.rpg.net/display-entry.phtml?mainid=651
1016|The Lords of Underearth|Metagaming|1980|lords of underearth|http://index.rpg.net/display-entry.phtml?mainid=7913
1034|Arms Law|I.C.E.|1980|arms law|http://index.rpg.net/display-entry.phtml?mainid=2647
1209|Star Patrol|Gamescience|1980|star patrol|http://index.rpg.net/display-entry.phtml?mainid=6474
1297|Skull & Crossbones|Fantasy Games Unlimited|1980|skull & crossbones|http://index.rpg.net/display-entry.phtml?mainid=1871
1367|Odysseus|Fantasy Games Unlimited|1980|odysseus|http://index.rpg.net/display-entry.phtml?mainid=6459
