"id","title","authors","book.type","genres","settings","system","awards","edition","year","editions.num","rating","rank","url","img.url","title.abbreviated","main.genre","sub.genre"
10,"Other Suns","Niall Shapero","Core Rules","Science Fiction / Furry","Generic","BRP","","Fantasy Games Unlimited",1983,NA,4.72,2494,"https://index.rpg.net/display-entry.phtml?mainid=10","https://www.rpg.net/pictures/cache/picthumb4190-medium.jpg","other suns","Science Fiction","Furry"
10002,"Broadsword","Todd Downing, Jeff Mejia, James Stubbs","Core Rules","Fantasy / Sword & Sorcery","Generic","1PG","","Deep7",2007,NA,5.92,511,"https://index.rpg.net/display-entry.phtml?mainid=10002","https://www.rpg.net/pictures/cache/picthumb22008-medium.jpg","broadsword","Fantasy","Sword & Sorcery"
10009,"The Veggie Patch","Jason Anderson","Core Rules","Fantasy","Generic","Generic / One-Off System","","Polgarus Games, Australia",2000,NA,5.33,959,"https://index.rpg.net/display-entry.phtml?mainid=10009","https://www.rpg.net/pictures/cache/picthumb11745-medium.jpg","veggie patch","Fantasy","Fantasy"
1003,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,5.11,NA,"https://index.rpg.net/display-entry.phtml?mainid=1003",NA,NA,NA,NA
10036,"Noir: the Film Noir Role-Playing Game","Jason Inglert, Jack Norris, Curtis Werner","Core Rules","Action / Crime","The City","Noir","","Archon Gaming",1996,NA,5.61,735,"https://index.rpg.net/display-entry.phtml?mainid=10036","https://www.rpg.net/pictures/cache/picthumb11799-medium.jpg","noir: the film noir role-playing game","Action","Crime"
10039,"Eldritch Role-Playing System Core Rules Book","Dan Cross, Randall Petras","Core Rules","Fantasy","Generic","Eldritch Role-Playing System Core Rules Book","","Goodman Games",2008,NA,5.23,1016,"https://index.rpg.net/display-entry.phtml?mainid=10039","https://www.rpg.net/pictures/cache/picthumb11783-medium.jpg","eldritch","Fantasy","Fantasy"
10044,"Immortal: Invisible War - Narrator's Guide","Ran Ackels, Rick Don","Core Rules","Fantasy","Modern","Immortal 3","","Jikkarro Enterprises",2008,NA,NA,1803,"https://index.rpg.net/display-entry.phtml?mainid=10044","https://www.rpg.net/pictures/cache/picthumb11823-medium.jpg","immortal invisible war narrator s guide","Fantasy","Fantasy"
10069,"Mongoose Traveller First Edition","Gareth Hanrahan","Core Rules","Science Fiction","Traveller",NA,"ENnie, ENnie, Grog d'Or","Mongoose Traveller First Edition",NA,2,7.14,73,"https://index.rpg.net/display-entry.phtml?mainid=10069","https://www.rpg.net/pictures/cache/picthumb11833-medium.jpg","mongoose traveller first edition","Science Fiction","Science Fiction"
10071,"unChosen","Tim Gray","Core Rules","Occult","Modern","NUGGETS","","Silver Branch Games",2004,NA,5.11,1182,"https://index.rpg.net/display-entry.phtml?mainid=10071","https://www.rpg.net/pictures/cache/picthumb11853-medium.jpg","unchosen","Occult","Occult"
10072,"Dare","Tim Gray","Core Rules","Pulp","Modern","NUGGETS","","Silver Branch Games",2005,NA,5.11,1181,"https://index.rpg.net/display-entry.phtml?mainid=10072","https://www.rpg.net/pictures/cache/picthumb11851-medium.jpg","darerpg","Pulp","Pulp"
10073,"The Arsenal of Heaven","Tim Gray","Core Rules","Fantasy / Modern","Generic","NUGGETS","Indie RPG","Silver Branch Games",2008,NA,4.7,2498,"https://index.rpg.net/display-entry.phtml?mainid=10073","https://www.rpg.net/pictures/show-pic.phtml?picid=29201","arsenal of heaven","Fantasy","Modern"
10084,"Albion","Tim Gray","Core Rules","Fantasy","Future",NA,"",NA,NA,2,5.04,1278,"https://index.rpg.net/display-entry.phtml?mainid=10084","https://www.rpg.net/pictures/cache/picthumb24083-medium.jpg","albion","Fantasy","Fantasy"
1010,"Active Exploits Diceless Roleplaying","Brett M. Bernstein","Core Rules","Generic","Generic","Active Exploits 0","Indie RPG, Indie RPG, Indie RPG","Politically Incorrect Games",2004,NA,5.31,960,"https://index.rpg.net/display-entry.phtml?mainid=1010","https://www.rpg.net/pictures/cache/picthumb5015-medium.jpg","active exploits","Generic","Generic"
10100,"Monkey, Ninja, Pirate, Robot: the Roleplaying Game","Chad Underkoffler","Core Rules","Humor","Generic","PDQ","","Atomic Sock Monkey Press",2004,NA,6.32,301,"https://index.rpg.net/display-entry.phtml?mainid=10100","https://www.rpg.net/pictures/cache/picthumb11895-medium.jpg","monkey, ninja, pirate, robote","Humor","Humor"
10115,"Sons of Liberty","Josh Roby","Core Rules","Steampunk","American Revolution","Generic / One-Off System","","Kallisti Press",2008,NA,NA,1361,"https://index.rpg.net/display-entry.phtml?mainid=10115","https://www.rpg.net/pictures/cache/picthumb11883-medium.jpg","sons of liberty","Steampunk","Steampunk"
1012,"HardNova II","Brett M. Bernstein, Matt Drake","Core Rules","Science Fiction","Generic",NA,"Indie RPG, Indie RPG",NA,NA,2,5.76,623,"https://index.rpg.net/display-entry.phtml?mainid=1012","https://www.rpg.net/pictures/cache/picthumb8473-medium.jpg","hardnova 2","Science Fiction","Science Fiction"
1013,"Elric!","Jimmie W. Pursell Jr., Mark Morrison, Joshua Shaw, Sam Shirley, Richard Watts, Lynn Willis","Core Rules","Fantasy","Young Kingdoms",NA,"",NA,NA,2,7.16,70,"https://index.rpg.net/display-entry.phtml?mainid=1013","https://www.rpg.net/pictures/cache/picthumb212-medium.jpg","elric","Fantasy","Fantasy"
10147,"Trail of Cthulhu Player's Guide","Kenneth Hite","Core Rules","Horror / Cthulhu","1930s","Trail of Cthulhu","","Pelgrane Press",2008,NA,5.31,962,"https://index.rpg.net/display-entry.phtml?mainid=10147","https://www.rpg.net/pictures/cache/picthumb26981-medium.jpg","trail of cthulhu player s guide","Horror","Cthulhu"
10155,"Mazes & Minotaurs Players Manual","Luigi Castellani, Paul Elliott, Reid San Filippo, Olivier Legrand","Core Rules","Fantasy / Historical","Mythika",NA,"","Mazes & Minotaurs Revised Edition #1",NA,2,5.59,750,"https://index.rpg.net/display-entry.phtml?mainid=10155","https://www.rpg.net/pictures/show-pic.phtml?picid=25746","mazes minotaurs players manual","Fantasy","Historical"
10156,"Mazes & Minotaurs Maze Masters Guide","Luigi Castellani, Paul Elliott, Guy Hoyle, Olivier Legrand, John Marron, Reid San Filippo Carl David Quaif, Erik Sieurin","Core Rules","Fantasy / Historical","Mythika",NA,"","Mazes & Minotaurs Revised Edition #2",NA,2,5.21,1068,"https://index.rpg.net/display-entry.phtml?mainid=10156","https://www.rpg.net/pictures/cache/picthumb28783-medium.jpg","mazes minotaurs maze masters guide","Fantasy","Historical"
